Azione	Utente	Nome	Eccezioni
Nega	Everyone	App in pacchetto: Microsoft.GetHelp firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.Paint firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.WindowsSoundRecorder firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: c5e2524a-ea46-4f67-841f-6a9465d9d515 firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.WindowsFeedbackHub firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.Windows.AssignedAccessLockApp firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: MicrosoftWindows.LKG.IrisService firmato da Microsoft Windows	
Consenti	Everyone	App in pacchetto: MicrosoftWindows.Client.OOBE firmato da Microsoft Windows	
Nega	Everyone	App in pacchetto: Microsoft.GamingApp firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.MicrosoftEdgeDevToolsClient firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.RawImageExtension firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: MicrosoftWindows.UndockedDevKit firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.Windows.CapturePicker firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.Windows.ParentalControls firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.AAD.BrokerPlugin firmato da Assegnato dall'organizzazione	
Consenti	Everyone	App in pacchetto: MicrosoftWindows.LKG.RulesEngine firmato da Microsoft Windows	
Consenti	Everyone	App in pacchetto: MicrosoftWindows.Client.Photon firmato da Microsoft Windows	
Consenti	Everyone	App in pacchetto: Microsoft.Windows.Apprep.ChxApp firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.WindowsAlarms firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.AsyncTextService firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.Windows.PinningConfirmationDialog firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.Windows.DevHome firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: 1527c705-839a-4832-9118-54d4Bd6a0c89 firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.CredDialogHost firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.XboxGameCallableUI firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.XboxGamingOverlay firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.Todos firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.ECApp firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.HEIFImageExtension firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: MicrosoftWindows.CrossDevice firmato da Microsoft Windows	
